Date,Open,High,Low,Close,Adj Close,Volume,All Items,realtime_start,realtime_end,value,DEXUSEU
2020-08-21,3386.010009765625,3399.9599609375,3379.31005859375,3397.159912109375,3397.159912109375,3505010000.0,0.014,2024-07-18,2024-07-18,16933.9,1.1775
2020-08-24,3418.090087890625,3432.090087890625,3413.1298828125,3431.280029296875,3431.280029296875,3743410000.0,0.014,2024-07-18,2024-07-18,16876.5,1.1803
2020-08-25,3435.949951171875,3444.2099609375,3425.840087890625,3443.6201171875,3443.6201171875,3627650000.0,0.014,2024-07-18,2024-07-18,16876.5,1.1818
2020-08-26,3449.969970703125,3481.070068359375,3444.14990234375,3478.72998046875,3478.72998046875,3780530000.0,0.014,2024-07-18,2024-07-18,16876.5,1.1813
2020-08-27,3485.139892578125,3501.3798828125,3468.35009765625,3484.550048828125,3484.550048828125,3955890000.0,0.014,2024-07-18,2024-07-18,16876.5,1.1824
2020-08-28,3494.68994140625,3509.22998046875,3484.320068359375,3508.010009765625,3508.010009765625,3868510000.0,0.014,2024-07-18,2024-07-18,16876.5,1.1901
2020-08-31,3509.72998046875,3514.77001953125,3493.25,3500.31005859375,3500.31005859375,4348280000.0,0.014,2024-07-18,2024-07-18,16958.9,1.195
2020-09-01,3507.43994140625,3528.030029296875,3494.60009765625,3526.64990234375,3526.64990234375,4101490000.0,0.014,2024-07-18,2024-07-18,16958.9,1.1949
2020-09-02,3543.760009765625,3588.110107421875,3535.22998046875,3580.840087890625,3580.840087890625,4295640000.0,0.014,2024-07-18,2024-07-18,16958.9,1.184
2020-09-03,3564.739990234375,3564.85009765625,3427.409912109375,3455.06005859375,3455.06005859375,4911830000.0,0.014,2024-07-18,2024-07-18,16958.9,1.1832
2020-09-04,3453.60009765625,3479.14990234375,3349.6298828125,3426.9599609375,3426.9599609375,4438720000.0,0.014,2024-07-18,2024-07-18,16958.9,1.182
2020-09-07,3453.60009765625,3479.14990234375,3349.6298828125,3426.9599609375,3426.9599609375,4438720000.0,0.014,2024-07-18,2024-07-18,17083.8,.
